state,left,stay,right
130,-44.56694094,-44.58970651,-43.86103322
131,-45.66012122,-45.66509769,-44.08515301
132,-44.80760923,-45.48277773,-45.48929165
133,-44.93567187,-45.40263301,-45.41956457
134,-38.58698584,-42.53479491,-42.52786081
135,-38.74261558,-41.02358299,-41.10677505
136,-38.95428983,-40.21884536,-40.17244446
137,-39.07509886,-39.14658993,-39.19344331
138,-38.73071769,-38.81744731,-38.66726467
139,-37.55035549,-37.23636865,-37.53652327
140,-34.03228968,-33.42357021,-34.6421007
141,-29.40088998,-28.66669012,-29.3395671
142,-24.33377495,-24.75419333,-23.94338588
143,-31.99764128,-32.037617,-29.46815947
144,-35.05114806,-35.09232736,-29.21948122
145,-37.66823709,-37.7210036,-29.04631203
146,-43.25977682,-43.1772545,-42.84094446
147,-43.95523463,-43.96220583,-43.2901878
148,-44.69417986,-44.5946461,-43.693189
149,-44.42257096,-45.43198247,-43.32882449
150,-44.91559555,-47.52990037,-44.98702292
151,-45.0924058,-45.27151886,-45.27932939
152,-39.15864642,-42.91939751,-43.11767979
153,-39.2388863,-41.36307588,-41.33603515
154,-39.44347794,-40.58984682,-40.61088787
155,-39.47241326,-39.48591307,-39.54778941
156,-39.09062468,-39.067124,-39.03539376
157,-37.97432577,-37.75517557,-37.98010121
158,-33.92976197,-34.76483408,-34.33863392
159,-29.04334485,-29.41279333,-29.3111568
160,-25.31914131,-25.02578222,-25.85055322
161,-31.43170454,-28.76595728,-31.34206245
162,-34.59692225,-34.76763204,-28.40866741
163,-37.64258575,-27.83986742,-37.60665517
164,-43.09798113,-43.09052285,-42.91784466
165,-43.75302424,-43.73223921,-43.37884718
166,-43.67733208,-43.65827326,-43.13594722
167,-45.38669788,-45.40813001,-42.93466801
168,-45.71038445,-45.67036884,-42.44966494
169,-45.00226017,-45.03320681,-41.94042559
170,-42.94633753,-39.90794761,-42.95295474
171,-41.28642924,-39.85495971,-41.32084338
172,-40.86004047,-39.99107491,-40.84613439
173,-39.78102244,-39.93096642,-39.88024065
174,-39.29716809,-39.35766042,-39.29092264
175,-37.69766009,-37.62311644,-37.6256124
176,-33.74931879,-33.72353506,-33.68221419
177,-29.24331844,-29.33191547,-29.35396592
178,-25.47467874,-25.50288209,-25.69871743
179,-30.79774733,-30.67659648,-28.16292166
180,-33.83946329,-27.8582553,-33.79558753
181,-36.31980072,-27.41269877,-36.35088919
182,-42.50703607,-42.6420744,-42.51173428
183,-43.54530335,-43.51599239,-43.42038197
184,-43.40449837,-43.41889464,-42.97980296
185,-43.80229767,-42.47663434,-43.78385002
186,-44.37344819,-44.45326484,-42.02672731
187,-44.11027164,-44.14564515,-41.24584369
188,-40.39282586,-42.98122472,-42.98275551
189,-40.39855725,-41.45589644,-41.45998708
190,-40.35235224,-40.84705888,-40.85322854
191,-40.01277869,-40.20091709,-40.16709881
192,-39.37454704,-39.35163483,-39.3694375
193,-35.97636011,-35.79320974,-35.70958426
194,-32.37105252,-32.23364356,-26.57365001
195,-28.04308363,-28.11233997,-14.24214848
196,-24.679929,-24.64228387,-14.21479306
197,-29.62955144,-25.98411676,-29.52479927
198,-30.9197598,-27.09897827,-31.05049024
199,-34.06839969,-34.07728699,-26.54480501
200,-37.63599219,-37.63994783,-25.8750229
201,-43.24406664,-43.19806451,-43.24200175
202,-43.36131811,-43.31997803,-42.96550208
203,-43.15042464,-43.11917522,-42.70043372
204,-43.1230914,-43.01395681,-42.17097735
205,-42.65875696,-41.54433585,-42.52175191
206,-40.93814563,-42.03546092,-42.06636513
207,-40.92906658,-41.54463126,-41.54815871
208,-40.71983689,-40.77825734,-40.82309424
209,-40.09152213,-40.1396477,-40.10833509
210,-39.10637062,-33.40935197,-39.22027265
211,-32.88299401,-33.15557881,-10.38123569
212,-30.54600012,-30.47751802,-8.434923252
213,-17.18590582,-17.30173336,-7.709814262
214,-15.66441174,-12.82190578,-4.939240546
215,0,0,0
216,-28.50155519,-25.77424591,-28.45532793
217,-31.25449345,-30.97929184,-25.68947919
218,-33.75609408,-25.44537585,-33.79639351
219,-36.36726478,-36.40876986,-24.59228182
220,-42.94695975,-42.89108846,-42.70570833
221,-42.99078711,-43.0260587,-42.54351514
222,-42.22378272,-42.74341029,-42.7454531
223,-41.76169234,-42.46854432,-42.42850215
224,-41.28512886,-41.96817452,-41.97013105
225,-41.1691516,-41.2058794,-41.17630454
226,-40.59494234,-40.63077597,-40.6104751
227,-39.4994864,-39.53260326,-33.04726383
228,-33.25655048,-33.59221108,-12.06430886
229,-31.56065525,-31.45187747,-11.64267954
230,-9.814239809,-18.72064457,-18.43605084
231,-7.14242557,-10.34246603,-9.792682002
232,-4.793291309,-4.628870724,-1.676093453
233,0,0,0
234,-26.09119271,-26.13583023,-24.50578231
235,-28.07914859,-28.03745482,-24.71486903
236,-31.43159327,-24.62359486,-31.25124287
237,-33.77626395,-33.84767909,-24.04778544
238,-35.98927814,-35.82927681,-23.34897208
239,-42.40031951,-42.36491344,-42.3466661
240,-42.28096531,-42.26517268,-42.19171392
241,-41.88179454,-41.93804327,-41.7929596
242,-41.45197661,-41.44233727,-41.50292319
243,-37.42773143,-40.80534399,-40.80766942
244,-36.44656095,-36.49191539,-16.76619922
245,-33.22748212,-33.16732399,-14.53728224
246,-31.45720137,-31.50754013,-13.64766622
247,-19.59314582,-19.59452861,-12.26293414
248,-10.81659529,-9.519472657,-11.00179808
249,-6.996650702,-6.811193708,-6.733566246
250,-3.778473561,-2.303594339,-3.484815392
251,0,0,0
252,0,0,0
253,-25.45807307,-25.16257629,-25.45470163
254,-26.46490632,-26.36628421,-23.11538872
255,-29.85006962,-29.82034888,-23.46071707
256,-33.18940794,-33.22075694,-22.79252529
257,-34.22631461,-22.01064381,-33.11262609
258,-33.88463383,-34.13491814,-20.95289044
259,-34.30497587,-33.67465684,-20.10427427
260,-34.81352212,-34.03188044,-18.17817676
261,-33.55626875,-33.83206865,-17.63878772
262,-31.67813257,-31.75190187,-16.54711063
263,-27.96171943,-15.08547712,-27.36822802
264,-19.78425933,-19.91518676,-13.42909839
265,-11.79706625,-12.18192796,-11.36637135
266,-8.682793084,-8.679959071,-6.781076908
267,-4.370129335,-4.09808886,-4.511839156
268,-1.809826006,-1.65368433,-2.143455613
269,0,0,0
270,0,0,0
271,0,0,0
272,-18.56837975,-16.60016301,-17.06555479
273,-20.12262013,-24.57760837,-24.70094985
274,-25.2004632,-25.26835564,-21.64149429
275,-28.14381142,-27.90302701,-21.18589071
276,-30.48196796,-31.0254627,-20.00692961
277,-31.16177274,-31.4710216,-19.56831225
278,-30.78008614,-30.75127752,-18.79907485
279,-26.23792537,-24.98752814,-17.93391042
280,-20.43184078,-16.49984034,-20.64962742
281,-17.70906435,-17.58835627,-15.02213911
282,-12.54706314,-10.58848863,-12.55505247
283,-6.428650412,-6.08618402,-6.765023178
284,0,0,0
285,0,0,0
286,0,0,0
287,0,0,0
288,0,0,0
289,0,0,0
290,0,0,0
291,0,0,0
292,-20.60361158,-19.99701427,-20.60730663
293,-22.63618543,-22.48853135,-17.10510848
294,-22.24191211,-22.05462208,-17.9144317
295,-21.47743498,-21.48920296,-18.09462033
296,-20.84146006,-20.83960571,-18.04209037
297,-19.91885006,-19.81504438,-16.62328119
298,-17.10500456,-17.1271427,-13.75480275
299,-2.502327208,-1.986227794,-2.113100652
300,0,0,0
301,0,0,0
302,0,0,0
303,0,0,0
304,0,0,0
305,0,0,0
306,-13.61102392,-13.79137694,-13.88739399
307,-26.90945782,-25.63483274,-25.49965701
308,-28.28514013,-30.18057502,-30.34046834
309,-30.84372211,-31.09806822,-31.44868572
310,-31.13303282,-31.59496928,-31.71445265
311,-31.6485081,-31.56379104,-31.62195035
312,-31.46541857,-32.01344504,-31.32554895
313,-28.16784225,-28.65340612,-28.48323956
314,-14.67018523,-16.8190734,-17.24745549
315,0,0,0
316,0,0,0
317,0,0,0
318,0,0,0
319,0,0,0
320,0,0,0
321,0,0,0
322,0,0,0
323,-30.11630068,-30.17794591,-30.01185659
